P.s,Item,Condition,Probmanip,Speaker,statement,response,final,Meaning,Imposition
20,11,4,2052,821,1197,979,2123,Direct,Low
20,12,1,2455,314,1098,1470,1273,Indirect,High
20,13,2,2188,516,724,1432,2747,Indirect,Low
20,14,3,2763,465,2136,1960,2217,Direct,High
20,15,4,2082,184,831,1404,1131,Direct,Low
20,16,1,2653,535,1075,1545,2170,Indirect,High
20,17,2,3105,,1785,1162,1537,Indirect,Low
20,18,3,1880,,993,1148,1323,Direct,High
20,19,4,2030,,1070,892,1428,Direct,Low
20,20,1,1294,,1111,2306,1871,Indirect,High
20,21,2,2356,370,1038,1567,891,Indirect,Low
20,22,3,1235,290,712,1098,1269,Direct,High
20,23,4,3419,616,1136,1380,1226,Direct,Low
20,24,1,818,176,995,1298,1101,Indirect,High
20,25,2,1862,349,1825,1217,2156,Indirect,Low
20,26,3,1284,447,1583,1551,2570,Direct,High
20,27,4,3810,223,1851,1243,1773,Direct,Low
20,28,1,1385,254,724,1426,2619,Indirect,High
21,1,1,1432,342,1210,1917,1264,Indirect,High
21,2,2,1564,408,1901,2391,2682,Indirect,Low
21,3,3,1541,166,1624,1677,1815,Direct,High
21,4,4,2419,451,1434,1330,1284,Direct,Low
21,5,1,1075,,2623,1468,1285,Indirect,High
21,6,2,1764,334,1419,1105,1185,Indirect,Low
21,7,3,2421,213,923,1834,1340,Direct,High
21,8,4,1196,280,1279,743,2366,Direct,Low
21,9,1,2760,363,1268,1927,2316,Indirect,High
21,10,2,3398,585,720,705,1745,Indirect,Low
21,11,3,1128,4314,,735,1485,Direct,High
21,12,4,1734,277,866,1581,1713,Direct,Low
21,13,1,1872,248,1565,1355,2272,Indirect,High
21,14,2,2038,456,2395,1789,1239,Indirect,Low
21,15,3,1265,258,1424,1126,1366,Direct,High
21,16,4,2477,237,865,1512,2485,Direct,Low
21,17,1,1955,284,1610,1247,905,Indirect,High
21,18,2,1207,373,1177,1507,1912,Indirect,Low
21,19,3,2424,107,1901,870,1352,Direct,High
21,20,4,2209,412,1751,2039,1512,Direct,Low
21,21,1,1863,363,1513,1909,826,Indirect,High
21,22,2,1077,212,1223,1402,1911,Indirect,Low
21,23,3,2335,457,2305,1251,1360,Direct,High
21,24,4,1302,261,1205,1436,1253,Direct,Low
21,25,1,2007,,1874,985,2078,Indirect,High
21,26,2,2115,,,2993,2616,Indirect,Low
21,27,3,2220,206,1037,1134,1885,Direct,High
21,28,4,1382,273,847,1810,2091,Direct,Low
22,1,4,506,3625,1458,1149,1003,Direct,Low
22,2,1,1451,229,1207,983,3086,Indirect,High
22,3,2,2010,576,4267,2352,2975,Indirect,Low
22,4,3,3335,,2064,1122,1864,Direct,High
22,5,4,1849,243,1176,724,1423,Direct,Low
22,6,1,1021,,1290,691,1678,Indirect,High
22,7,2,1270,190,464,790,1898,Indirect,Low
22,8,3,772,260,732,767,1552,Direct,High
22,9,4,2395,213,803,796,1290,Direct,Low
22,10,1,1503,279,763,816,2165,Indirect,High
22,11,2,2273,347,1377,777,1056,Indirect,Low
22,12,3,2074,,2012,1345,2217,Direct,High
22,13,4,1357,368,1220,1348,8728,Direct,Low
22,14,1,3159,,1653,1511,1101,Indirect,High
22,15,2,2216,249,949,1807,1159,Indirect,Low
22,16,3,1981,,697,1007,1260,Direct,High
22,17,4,2236,,898,1098,739,Direct,Low
22,18,1,1317,,743,649,2057,Indirect,High
22,19,2,1670,,1750,620,1237,Indirect,Low
22,20,3,1489,144,1515,1118,1000,Direct,High
22,21,4,1614,,791,660,1254,Direct,Low
22,22,1,750,,833,816,1391,Indirect,High
22,23,2,2843,229,802,897,4715,Indirect,Low
22,24,3,2538,,660,667,1020,Direct,High
22,25,4,1061,170,857,965,1270,Direct,Low
22,26,1,1284,286,1013,5159,1559,Indirect,High
22,27,2,1663,,929,1021,1256,Indirect,Low
22,28,3,1160,159,578,1066,2917,Direct,High
23,1,3,1126,418,1665,1464,2298,Direct,High
23,2,4,1150,810,1170,896,1636,Direct,Low
23,3,1,1894,,772,1439,1434,Indirect,High
23,4,2,2520,428,895,1580,2419,Indirect,Low
23,5,3,1879,186,1555,936,825,Direct,High
23,6,4,2019,290,1702,1036,742,Direct,Low
23,7,1,1806,570,745,1334,2314,Indirect,High
23,8,2,,,,,,Indirect,Low
23,9,3,2379,272,633,964,1102,Direct,High
23,10,4,2453,169,2530,1209,1396,Direct,Low
23,11,1,1189,605,1499,960,1047,Indirect,High
23,12,2,1959,,1062,1263,664,Indirect,Low
23,13,3,1305,,1731,1422,2760,Direct,High
23,14,4,1435,,2246,1854,726,Direct,Low
23,15,1,1973,,2132,1772,1334,Indirect,High
23,16,2,2413,,1365,1397,1778,Indirect,Low
23,17,3,1550,458,1606,1188,890,Direct,High
23,18,4,1582,233,851,681,789,Direct,Low
23,19,1,2761,852,2162,886,633,Indirect,High
23,20,2,2540,1274,926,1490,1477,Indirect,Low
23,21,3,1690,,2637,1043,1243,Direct,High
23,22,4,1184,221,1077,1366,1046,Direct,Low
23,23,1,2094,338,747,915,2329,Indirect,High
23,24,2,844,274,874,1118,734,Indirect,Low
23,25,3,2167,285,1666,504,1450,Direct,High
23,26,4,3431,,1022,1332,1530,Direct,Low
23,27,1,1792,222,935,1068,1835,Indirect,High
23,28,2,7274,278,1021,1030,1253,Indirect,Low
24,1,2,2137,462,1813,4346,2268,Indirect,Low
24,2,3,1440,705,1742,1412,4243,Direct,High
24,3,4,2795,618,2079,2335,2656,Direct,Low
24,4,1,2514,663,1513,5794,2801,Indirect,High
24,5,2,1218,550,4040,1477,5148,Indirect,Low
24,6,3,3280,1108,2010,5223,1810,Direct,High
24,7,4,2820,485,1074,5017,3267,Direct,Low
24,8,1,1879,369,1986,1331,3425,Indirect,High
24,9,2,3625,825,1261,1952,3572,Indirect,Low
24,10,3,2645,569,13258,1213,3939,Direct,High
24,11,4,2214,897,1473,2334,1810,Direct,Low
24,12,1,2074,536,3474,1758,6189,Indirect,High
24,13,2,5125,626,2269,2772,3362,Indirect,Low
24,14,3,2320,625,1658,2387,3026,Direct,High
24,15,4,3630,636,1426,3187,3838,Direct,Low
24,16,1,2958,695,1044,2041,3921,Indirect,High
24,17,2,,3946,1085,4327,1730,Indirect,Low
24,18,3,2008,667,1826,2007,2242,Direct,High
24,19,4,2527,3329,2870,1433,2774,Direct,Low
24,20,1,1529,812,1536,2408,8004,Indirect,High
24,21,2,3021,945,2251,2389,7359,Indirect,Low
24,22,3,1892,302,1130,2997,,Direct,High
24,23,4,4280,617,2913,2830,1878,Direct,Low
24,24,1,1409,631,1977,2702,2321,Indirect,High
24,25,2,5246,419,1704,2744,3664,Indirect,Low
24,26,3,2799,683,3838,1656,2999,Direct,High
24,27,4,3983,656,2234,1576,5175,Direct,Low
24,28,1,5858,1931,2590,3016,,Indirect,High
25,1,1,2159,699,1476,3107,2133,Indirect,High
25,2,2,3415,1117,2492,1983,3501,Indirect,Low
25,3,3,2181,1139,3509,3461,2210,Direct,High
25,4,4,3446,553,1565,2919,2140,Direct,Low
25,5,1,1304,514,1803,2160,1994,Indirect,High
25,6,2,3535,553,1616,1732,2028,Indirect,Low
25,7,3,3037,344,1020,2206,2046,Direct,High
25,8,4,1920,443,2030,1630,1443,Direct,Low
25,9,1,4776,1027,1486,2105,2719,Indirect,High
25,10,2,2804,788,2141,1392,1480,Indirect,Low
25,11,3,2705,965,1847,2416,2524,Direct,High
25,12,4,2486,808,1724,2243,1219,Direct,Low
25,13,1,1992,946,1815,2196,2627,Indirect,High
25,14,2,2711,747,1674,3288,1344,Indirect,Low
25,15,3,2991,902,2315,2356,1576,Direct,High
25,16,4,3082,625,1104,2155,2685,Direct,Low
25,17,1,2957,688,998,2830,1349,Indirect,High
25,18,2,2531,1131,1567,1933,879,Indirect,Low
25,19,3,3310,,3339,1426,1165,Direct,High
25,20,4,2056,780,2896,2478,1613,Direct,Low
25,21,1,2903,725,1421,2032,1346,Indirect,High
25,22,2,1759,631,1353,1889,1224,Indirect,Low
25,23,3,4062,591,2577,2282,3028,Direct,High
25,24,4,1393,442,1568,2057,1170,Direct,Low
25,25,1,1703,675,1612,1591,2824,Indirect,High
25,26,2,2873,988,2106,2136,2813,Indirect,Low
25,27,3,3811,348,1715,2007,2505,Direct,High
25,28,4,2504,619,1001,2385,2757,Direct,Low
26,1,4,1703,157,3166,2154,2287,Direct,Low
26,2,1,3256,205,3121,2403,1289,Indirect,High
26,3,2,2735,252,1676,2211,1518,Indirect,Low
26,4,3,2835,163,2691,1451,964,Direct,High
26,5,4,2388,234,848,1453,907,Direct,Low
26,6,1,1498,167,2228,1201,2438,Indirect,High
26,7,2,1819,192,595,1059,2807,Indirect,Low
26,8,3,1560,216,508,765,1681,Direct,High
26,9,4,2194,209,531,2544,2149,Direct,Low
26,10,1,1603,211,718,1104,1484,Indirect,High
26,11,2,1106,378,970,1357,1358,Indirect,Low
26,12,3,1846,198,820,1033,788,Direct,High
26,13,4,1390,247,2463,1819,1466,Direct,Low
26,14,1,2654,225,2375,2421,1535,Indirect,High
26,15,2,2248,157,1264,2855,1628,Indirect,Low
26,16,3,4861,370,580,1304,3807,Direct,High
26,17,4,2100,150,2184,2400,892,Direct,Low
26,18,1,1657,240,1064,1253,1086,Indirect,High
26,19,2,3579,421,7145,836,983,Indirect,Low
26,20,3,1120,231,802,1237,1038,Direct,High
26,21,4,2102,,3301,1038,1487,Direct,Low
26,22,1,1317,,791,2213,1999,Indirect,High
26,23,2,2370,214,767,744,2932,Indirect,Low
26,24,3,784,196,1130,1053,901,Direct,High
26,25,4,2541,211,863,867,1080,Direct,Low
26,26,1,1181,184,1390,1274,1605,Indirect,High
26,27,2,2040,192,1145,1006,1612,Indirect,Low
26,28,3,1730,211,1012,1693,2824,Direct,High
27,1,3,3023,571,2750,1865,1478,Direct,High
27,2,4,3321,798,2415,943,1700,Direct,Low
27,3,1,2469,265,2614,2332,1204,Indirect,High
27,4,2,2729,550,1514,2518,1589,Indirect,Low
27,5,3,1618,749,1504,1053,1814,Direct,High
27,6,4,2333,687,1706,723,991,Direct,Low
27,7,1,2485,,1628,1642,1810,Indirect,High
27,8,2,,,,,,Indirect,Low
27,9,3,3790,600,1171,2519,2152,Direct,High
27,10,4,3490,801,1906,667,1676,Direct,Low
27,11,1,1461,649,1128,1282,1441,Indirect,High
27,12,2,2441,,1816,1888,984,Indirect,Low
27,13,3,1533,206,1881,2741,2697,Direct,High
27,14,4,2261,,2169,1953,1995,Direct,Low
27,15,1,2733,284,2158,3109,1323,Indirect,High
27,16,2,2673,563,1216,1826,2174,Indirect,Low
27,17,3,2245,562,2017,1432,1174,Direct,High
27,18,4,3099,326,867,1180,591,Direct,Low
27,19,1,2176,,3207,1157,,Indirect,High
27,20,2,2339,296,1049,1513,1412,Indirect,Low
27,21,3,2323,201,1611,1896,1110,Direct,High
27,22,4,1414,,1606,1413,1302,Direct,Low
27,23,1,2500,323,536,1756,1174,Indirect,High
27,24,2,2672,156,1708,1362,1118,Indirect,Low
27,25,3,1443,440,1285,1276,1492,Direct,High
27,26,4,2124,614,1290,1618,2070,Direct,Low
27,27,1,4262,346,1553,1342,1026,Indirect,High
27,28,2,1202,245,1538,1254,2435,Indirect,Low
28,1,2,1916,264,1294,2343,1594,Indirect,Low
28,2,3,895,212,2286,721,1206,Direct,High
28,3,4,1933,216,2330,3176,1201,Direct,Low
28,4,1,4845,247,703,2179,1500,Indirect,High
28,5,2,1353,342,1379,736,2217,Indirect,Low
28,6,3,1159,287,1534,801,1157,Direct,High
28,7,4,2298,176,521,1165,1627,Direct,Low
28,8,1,1488,168,839,617,1295,Indirect,High
28,9,2,4747,354,673,1072,2087,Indirect,Low
28,10,3,2231,180,2700,674,1035,Direct,High
28,11,4,2105,867,1785,963,2201,Direct,Low
28,12,1,3067,227,738,915,1989,Indirect,High
28,13,2,2739,231,1224,1733,1976,Indirect,Low
28,14,3,1884,295,6531,1291,915,Direct,High
28,15,4,2030,325,1354,1264,1570,Direct,Low
28,16,1,2163,318,1096,1156,1995,Indirect,High
28,17,2,2604,461,874,1354,1120,Indirect,Low
28,18,3,1320,,2748,832,1056,Direct,High
28,19,4,2151,167,1323,981,868,Direct,Low
28,20,1,1378,184,1063,1550,1939,Indirect,High
28,21,2,1666,233,1309,1254,1833,Indirect,Low
28,22,3,1306,176,949,1056,2097,Direct,High
28,23,4,2157,173,1245,1064,1689,Direct,Low
28,24,1,949,428,1072,1167,1830,Indirect,High
28,25,2,2333,244,1418,1055,1762,Indirect,Low
28,26,3,1968,222,1730,1168,1583,Direct,High
28,27,4,1734,235,876,840,1837,Direct,Low
28,28,1,1607,285,838,1394,4242,Indirect,High
29,1,1,1173,,1012,1282,1337,Indirect,High
29,2,2,773,,2212,518,3775,Indirect,Low
29,3,3,2100,,1432,,2964,Direct,High
29,4,4,2250,179,1712,1232,827,Direct,Low
29,5,1,3132,209,2984,1111,1758,Indirect,High
29,6,2,1855,,1117,482,2773,Indirect,Low
29,7,3,2882,194,702,1025,2202,Direct,High
29,8,4,2062,,820,4885,2302,Direct,Low
29,9,1,1717,285,682,819,1730,Indirect,High
29,10,2,5980,181,691,505,1961,Indirect,Low
29,11,3,1012,373,814,797,1184,Direct,High
29,12,4,2155,,1439,1053,2035,Direct,Low
29,13,1,1572,165,840,1105,2175,Indirect,High
29,14,2,2350,,1518,1498,891,Indirect,Low
29,15,3,3354,,876,,2283,Direct,High
29,16,4,1417,,859,958,1751,Direct,Low
29,17,1,2036,,712,1173,1596,Indirect,High
29,18,2,2292,,617,965,1102,Indirect,Low
29,19,3,1863,,1186,748,610,Direct,High
29,20,4,2158,222,963,1281,1264,Direct,Low
29,21,1,881,271,811,746,1048,Indirect,High
29,22,2,1474,,2810,1269,845,Indirect,Low
29,23,3,1214,256,760,750,748,Direct,High
29,24,4,692,,721,1151,1435,Direct,Low
29,25,1,941,181,1372,795,1205,Indirect,High
29,26,2,1152,199,1196,1647,2758,Indirect,Low
29,27,3,1928,148,499,943,1472,Direct,High
29,28,4,1471,,574,1085,2224,Direct,Low
30,1,4,2359,729,1772,1542,1460,Direct,Low
30,2,1,1892,,2839,978,2145,Indirect,High
30,3,2,5065,198,1549,3607,1736,Indirect,Low
30,4,3,2563,387,2953,1276,3541,Direct,High
30,5,4,4818,1340,1283,964,5027,Direct,Low
30,6,1,2173,462,1683,3916,4512,Indirect,High
30,7,2,1709,,929,1329,3381,Indirect,Low
30,8,3,2419,174,1120,888,2832,Direct,High
30,9,4,3084,,1289,1111,3240,Direct,Low
30,10,1,1995,333,825,889,2310,Indirect,High
30,11,2,1592,724,1932,1445,1472,Indirect,Low
30,12,3,2775,,1133,1299,3952,Direct,High
30,13,4,2679,432,2069,1947,3543,Direct,Low
30,14,1,3082,,2716,4445,6549,Indirect,High
30,15,2,3007,289,1263,2164,3545,Indirect,Low
30,16,3,1578,,1173,1229,2233,Direct,High
30,17,4,2863,786,949,1427,1553,Direct,Low
30,18,1,1182,363,986,1142,1862,Indirect,High
30,19,2,1796,,2553,1005,2149,Indirect,Low
30,20,3,1355,239,1165,1507,2049,Direct,High
30,21,4,1456,305,852,1406,1453,Direct,Low
30,22,1,1421,,1708,1151,2502,Indirect,High
30,23,2,2848,526,1515,2099,8268,Indirect,Low
30,24,3,1206,,986,897,3991,Direct,High
30,25,4,1494,152,856,1452,1564,Direct,Low
30,26,1,3148,510,2997,3039,2109,Indirect,High
30,27,2,2575,347,1230,988,2038,Indirect,Low
30,28,3,4237,352,901,1474,2437,Direct,High
31,1,3,1258,496,1287,1254,858,Direct,High
31,2,4,1377,408,2300,1278,2659,Direct,Low
31,3,1,1509,,3084,1693,1197,Indirect,High
31,4,2,2365,220,1063,1973,1046,Indirect,Low
31,5,3,2771,369,1921,1336,2267,Direct,High
31,6,4,2929,922,1478,963,730,Direct,Low
31,7,1,2215,621,681,1215,1744,Indirect,High
31,8,2,,,,,,Indirect,Low
31,9,3,2919,430,818,1315,1982,Direct,High
31,10,4,4142,345,1469,1207,1199,Direct,Low
31,11,1,1559,447,1777,1126,1914,Indirect,High
31,12,2,1793,,749,1015,738,Indirect,Low
31,13,3,1709,408,1810,1967,1690,Direct,High
31,14,4,2042,,2300,1707,1034,Direct,Low
31,15,1,2291,337,2042,1617,1320,Indirect,High
31,16,2,2776,477,783,1679,2169,Indirect,Low
31,17,3,1793,641,1203,951,1512,Direct,High
31,18,4,1313,565,1311,1386,2158,Direct,Low
31,19,1,3417,451,1831,1289,666,Indirect,High
31,20,2,2431,1253,1144,1405,1728,Indirect,Low
31,21,3,1393,,1140,1665,1647,Direct,High
31,22,4,2092,383,659,878,2130,Direct,Low
31,23,1,3665,550,1204,1400,2158,Indirect,High
31,24,2,1210,,1574,1380,2156,Indirect,Low
31,25,3,1294,176,2427,1403,2113,Direct,High
31,26,4,1520,230,1215,1252,1676,Direct,Low
31,27,1,2853,787,998,1307,827,Indirect,High
31,28,2,1381,355,1625,1704,3157,Indirect,Low
32,1,2,1850,267,1363,1973,1630,Indirect,Low
32,2,3,1546,521,1648,1222,3080,Direct,High
32,3,4,2192,,2024,3087,2913,Direct,Low
32,4,1,2929,758,1559,1300,8987,Indirect,High
32,5,2,2165,164,,4520,8665,Indirect,Low
32,6,3,1721,492,1789,1888,2100,Direct,High
32,7,4,2560,527,1049,1568,4397,Direct,Low
32,8,1,1084,509,1125,1181,2901,Indirect,High
32,9,2,2639,2408,3034,1796,2768,Indirect,Low
32,10,3,1774,579,1591,872,1341,Direct,High
32,11,4,3097,945,1410,595,2284,Direct,Low
32,12,1,2292,405,1537,3156,1292,Indirect,High
32,13,2,2291,920,992,2045,2180,Indirect,Low
32,14,3,2595,,2554,2694,1789,Direct,High
32,15,4,5954,482,1089,1781,1287,Direct,Low
32,16,1,2749,565,977,2550,3290,Indirect,High
32,17,2,4056,,1459,1950,1366,Indirect,Low
32,18,3,2258,368,2181,1635,7938,Direct,High
32,19,4,1848,,4955,1415,2331,Direct,Low
32,20,1,1243,603,1314,2387,2246,Indirect,High
32,21,2,5443,,1657,1531,1571,Indirect,Low
32,22,3,3538,448,793,2282,1458,Direct,High
32,23,4,2717,625,2000,1949,1107,Direct,Low
32,24,1,1060,659,1579,1831,683,Indirect,High
32,25,2,1655,452,2118,1345,1729,Indirect,Low
32,26,3,1610,491,2075,1648,3485,Direct,High
32,27,4,2594,460,1006,1325,2072,Direct,Low
32,28,1,2295,2959,1122,2205,2534,Indirect,High
33,1,4,2040,424,2241,1855,1953,Direct,Low
33,2,1,2420,661,2144,1270,1807,Indirect,High
33,3,2,1999,,3205,1214,1787,Indirect,Low
33,4,3,2197,324,1121,1585,853,Direct,High
33,5,4,3615,441,1800,1032,2968,Direct,Low
33,6,1,1783,225,1502,1311,3949,Indirect,High
33,7,2,6609,3480,2614,2586,4143,Indirect,Low
33,8,3,3198,287,810,862,783,Direct,High
33,9,4,10485,230,998,1126,2395,Direct,Low
33,10,1,3326,587,1393,2287,6966,Indirect,High
33,11,2,3735,1106,1895,1167,1132,Indirect,Low
33,12,3,1905,243,998,934,1427,Direct,High
33,13,4,5038,528,2454,2206,3288,Direct,Low
33,14,1,3466,400,1436,3035,1715,Indirect,High
33,15,2,4015,518,5596,3506,1347,Indirect,Low
33,16,3,2362,365,826,1426,1970,Direct,High
33,17,4,2286,,,4564,1148,Direct,Low
33,18,1,1485,244,825,1192,850,Indirect,High
33,19,2,6533,274,2164,1197,1029,Indirect,Low
33,20,3,1318,237,1193,2189,1528,Direct,High
33,21,4,1258,250,965,1188,1035,Direct,Low
33,22,1,1265,254,854,1910,1081,Indirect,High
33,23,2,2822,529,1318,1479,1459,Indirect,Low
33,24,3,835,173,830,1533,462,Direct,High
33,25,4,2007,231,807,835,1796,Direct,Low
33,26,1,2314,321,2599,1333,3422,Indirect,High
33,27,2,3619,,1462,1179,3012,Indirect,Low
33,28,3,2603,433,737,1716,4536,Direct,High
34,1,1,2102,364,1907,2027,1052,Indirect,High
34,2,2,1393,740,2971,1384,1672,Indirect,Low
34,3,3,1770,1720,1700,2033,1172,Direct,High
34,4,4,2840,1014,1769,2992,1188,Direct,Low
34,5,1,1778,1128,2433,1552,1106,Indirect,High
34,6,2,1971,461,1575,1965,714,Indirect,Low
34,7,3,2985,321,949,1605,1278,Direct,High
34,8,4,1473,1966,1799,1977,2198,Direct,Low
34,9,1,2910,567,1307,2496,1539,Indirect,High
34,10,2,2329,920,1867,1554,1036,Indirect,Low
34,11,3,1907,938,1580,1657,2221,Direct,High
34,12,4,2532,909,1659,1457,1135,Direct,Low
34,13,1,2885,1019,1498,2644,3179,Indirect,High
34,14,2,4358,960,1950,3148,2884,Indirect,Low
34,15,3,2853,487,1006,1873,1088,Direct,High
34,16,4,3743,392,1251,1700,2235,Direct,Low
34,17,1,2557,923,698,1585,944,Indirect,High
34,18,2,1742,733,1323,1456,863,Indirect,Low
34,19,3,2591,805,2756,1674,1639,Direct,High
34,20,4,1892,329,1786,2105,1025,Direct,Low
34,21,1,1783,677,1225,2756,685,Indirect,High
34,22,2,1781,357,1836,1708,810,Indirect,Low
34,23,3,2523,635,1787,1731,1428,Direct,High
34,24,4,1577,371,1179,2248,760,Direct,Low
34,25,1,2325,829,2121,1454,2262,Indirect,High
34,26,2,3475,657,1470,2615,3543,Indirect,Low
34,27,3,2394,667,809,1917,1138,Direct,High
34,28,4,2028,280,1090,1868,3671,Direct,Low
35,1,3,2940,359,762,1321,2838,Direct,High
35,2,4,2831,644,3401,2046,3708,Direct,Low
35,3,1,7213,195,1303,3197,2913,Indirect,High
35,4,2,7118,142,1212,3182,1672,Indirect,Low
35,5,3,2688,273,2478,1441,3340,Direct,High
35,6,4,7393,276,2380,1176,1304,Direct,Low
35,7,1,3825,,2016,1151,4810,Indirect,High
35,8,2,,,,,,Indirect,Low
35,9,3,6508,265,1824,1844,2059,Direct,High
35,10,4,3385,235,4404,1576,2627,Direct,Low
35,11,1,1468,501,1617,2408,2024,Indirect,High
35,12,2,5017,187,901,1763,4004,Indirect,Low
35,13,3,2801,193,1678,1361,8083,Direct,High
35,14,4,2934,456,2652,3129,1896,Direct,Low
35,15,1,3496,,1298,1620,2297,Indirect,High
35,16,2,2137,,2072,1978,2418,Indirect,Low
35,17,3,3701,527,3832,2654,1369,Direct,High
35,18,4,2869,517,2178,1397,3524,Direct,Low
35,19,1,2041,186,1702,1723,1117,Indirect,High
35,20,2,2687,290,1084,1517,2085,Indirect,Low
35,21,3,2273,,1001,1892,1775,Direct,High
35,22,4,1655,227,671,1967,1593,Direct,Low
35,23,1,5275,300,2613,1802,1684,Indirect,High
35,24,2,1756,,1633,1497,1187,Indirect,Low
35,25,3,2209,371,2250,2056,3671,Direct,High
35,26,4,1934,140,1340,1538,1960,Direct,Low
35,27,1,4334,429,1000,1252,2080,Indirect,High
35,28,2,1242,,1025,1475,2978,Indirect,Low
36,1,2,2205,,397,4189,4047,Indirect,Low
36,2,3,1408,579,1303,2262,5853,Direct,High
36,3,4,1306,683,1346,3504,3315,Direct,Low
36,4,1,1796,201,382,1419,9456,Indirect,High
36,5,2,2010,,1312,5106,1034,Indirect,Low
36,6,3,2698,,1641,472,3818,Direct,High
36,7,4,3126,,2194,1466,3397,Direct,Low
36,8,1,683,,1762,771,1238,Indirect,High
36,9,2,2418,215,347,640,6426,Indirect,Low
36,10,3,1729,280,1712,1068,3549,Direct,High
36,11,4,918,937,652,567,8416,Direct,Low
36,12,1,1606,,1084,1459,3693,Indirect,High
36,13,2,1438,,996,3950,2390,Indirect,Low
36,14,3,1692,,283,8657,2050,Direct,High
36,15,4,3611,272,1628,1424,1786,Direct,Low
36,16,1,2757,,1697,702,4863,Indirect,High
36,17,2,1283,,775,961,9086,Indirect,Low
36,18,3,1442,,325,6290,2302,Direct,High
36,19,4,1738,,2256,1585,639,Direct,Low
36,20,1,2624,,1801,2626,2750,Indirect,High
36,21,2,1050,,1156,2467,1034,Indirect,Low
36,22,3,1499,,1896,558,3805,Direct,High
36,23,4,4802,288,1220,4986,9649,Direct,Low
36,24,1,904,,899,482,2821,Indirect,High
36,25,2,1778,,3032,1127,2328,Indirect,Low
36,26,3,1580,262,840,624,13304,Direct,High
36,27,4,3061,,1893,1942,1532,Direct,Low
36,28,1,2326,,3094,998,12134,Indirect,High
37,1,1,2200,491,734,1479,3503,Indirect,High
37,2,2,1752,470,1873,1557,4483,Indirect,Low
37,3,3,1812,601,1306,1940,2187,Direct,High
37,4,4,1462,,7117,1885,2408,Direct,Low
37,5,1,1513,460,2326,1031,2096,Indirect,High
37,6,2,2232,493,1405,2038,1743,Indirect,Low
37,7,3,2461,571,897,1587,2142,Direct,High
37,8,4,1667,382,3891,1430,3333,Direct,Low
37,9,1,3231,,1535,1177,2102,Indirect,High
37,10,2,3646,275,1102,930,4367,Indirect,Low
37,11,3,1743,970,1989,1836,3619,Direct,High
37,12,4,2954,379,1403,955,3066,Direct,Low
37,13,1,2151,578,1103,2222,3595,Indirect,High
37,14,2,3444,650,2321,2187,2673,Indirect,Low
37,15,3,2520,352,1973,1619,2223,Direct,High
37,16,4,3311,,2060,2191,4368,Direct,Low
37,17,1,1468,370,725,1712,1922,Indirect,High
37,18,2,1405,556,1249,1559,1737,Indirect,Low
37,19,3,2788,466,2188,1184,1251,Direct,High
37,20,4,2188,519,1490,1621,2063,Direct,Low
37,21,1,1999,695,1484,1933,4354,Indirect,High
37,22,2,1731,485,1194,1757,1614,Indirect,Low
37,23,3,2812,495,2452,1454,1871,Direct,High
37,24,4,,,,4567,2276,Direct,Low
37,25,1,1165,314,1582,955,2202,Indirect,High
37,26,2,3102,519,1406,1622,4055,Indirect,Low
37,27,3,2417,509,1159,1241,2410,Direct,High
37,28,4,2545,307,841,1877,2864,Direct,Low
38,1,4,1668,,1430,1003,717,Direct,Low
38,2,1,1085,255,1125,852,1052,Indirect,High
38,3,2,1795,,1236,3172,822,Indirect,Low
38,4,3,1860,150,1338,928,990,Direct,High
38,5,4,1292,278,1299,689,972,Direct,Low
38,6,1,1939,227,1577,821,1722,Indirect,High
38,7,2,2014,166,581,1034,1769,Indirect,Low
38,8,3,1155,215,793,2582,1265,Direct,High
38,9,4,2137,150,765,940,899,Direct,Low
38,10,1,1578,281,1717,1733,769,Indirect,High
38,11,2,2266,347,2056,979,1028,Indirect,Low
38,12,3,4309,410,802,1592,1012,Direct,High
38,13,4,2155,141,1400,2748,955,Direct,Low
38,14,1,1395,,1825,3776,595,Indirect,High
38,15,2,1745,,1178,1153,458,Indirect,Low
38,16,3,1970,,814,1324,1241,Direct,High
38,17,4,2282,,1248,824,1000,Direct,Low
38,18,1,2358,195,1001,752,592,Indirect,High
38,19,2,2000,,1698,690,530,Indirect,Low
38,20,3,1149,220,2383,1821,826,Direct,High
38,21,4,1504,,753,723,475,Direct,Low
38,22,1,2805,172,726,825,579,Indirect,High
38,23,2,2262,,818,1258,1023,Indirect,Low
38,24,3,737,,1258,781,420,Direct,High
38,25,4,2625,,1195,636,636,Direct,Low
38,26,1,1354,,1197,1295,1225,Indirect,High
38,27,2,2120,212,674,610,914,Indirect,Low
38,28,3,2156,229,655,1786,1318,Direct,High
39,1,3,2187,522,1105,975,1192,Direct,High
39,2,4,3224,,1495,1607,1344,Direct,Low
39,3,1,,2387,1288,1426,1250,Indirect,High
39,4,2,2749,125,1316,1640,911,Indirect,Low
39,5,3,2194,,1888,1300,1830,Direct,High
39,6,4,2936,,1049,480,2545,Direct,Low
39,7,1,2919,966,580,1703,3401,Indirect,High
39,8,2,,,,,,Indirect,Low
39,9,3,2786,,653,1479,1894,Direct,High
39,10,4,2376,280,4262,492,1819,Direct,Low
39,11,1,1596,338,1314,1047,2204,Indirect,High
39,12,2,2392,,1899,2528,2069,Indirect,Low
39,13,3,616,,1871,1407,1678,Direct,High
